Category,Respondent,Surplus Vegetables
Farmer,Chapcha FMG,Cole crops
Farmer,Chapcha FMG,Green leaves
Farmer,Chapcha FMG,Carrot
Farmer,Chapcha FMG,Chili
Farmer,Chapcha FMG,Potato
Farmer,Dophulakha FMG,Green leaves
Farmer,Dophulakha FMG,Beans
Farmer,Dophulakha FMG,Radish
Farmer,Dophulakha FMG,Pumpkin
Farmer,Dophulakha FMG,Chayote
Farmer,Metakha FMG,Cole crops
Farmer,Metakha FMG,Green leaves
Farmer,Metakha FMG,Pumpkin
Farmer,Metakha FMG,Potato
Farmer,Bongo FMG,Cole crops
Farmer,Bongo FMG,Green leaves
Farmer,Bongo FMG,Beans
Farmer,Bongo FMG,Radish
Farmer,Bongo FMG,Pumpkin
Farmer,Bongo FMG,Carrot
Farmer,Bongo FMG,Chili
Farmer,Samphelling FMG,Green leaves
Farmer,Samphelling FMG,Radish
Farmer,Samphelling FMG,Pumpkin
Farmer,Bjabcho FMG,Green leaves
Farmer,Bjabcho FMG,Radish
Farmer,Bjabcho FMG,Potato
Farmer,Logchina FMG,Cole crops
Farmer,Logchina FMG,Green leaves
Farmer,Logchina FMG,Radish
